TÍTULO,DIRECTOR,PRODUCTOR,DURACIÓN,DISTRIBUIDOR,ESPECTADORES,TAQUILLA,FECHA DE ESTRENO,CLASIFICACIÓN,AÑO DE ESTRENO,MES DE ESTRENO
SIN TETAS NO HAY PARAÍSO,GUSTAVO BOLÍVAR,EFE-X S.A EN LIQUIDACIÓN,109.0,CINE COLOMBIA,326247,2132000686,10/09/2010,,2010,September
SOFÍA Y EL TERCO,ANDRÉS BURGOS,CAROLINAARANGO AMAYA,82.3,CINECOLOR FILMS,50620,339240331,03/08/2012,,2012,August
SOUVENIR,ANDRÉS DAVID CUEVAS NAVARRETE,CUEVAS FILM CINE ENTRETENIMIENTO,85.0,OTH,2320,16031650,06/06/2014,,2014,June
SUAVE EL ALIENTO,AUGUSTO SANDINO,SCHWEIZEN MEDIA GROUP,90.5,CINEPLEX,2366,13983700,22/10/2015,MAY 12 AÑOS,2015,October
TIERRA EN LA LENGUA,RUBÉN MENDOZA,DIA FRAGMA FABRICA DE PELÍCULAS LTDA.,88.0,CINEPLEX,7561,53168594,17/07/2014,,2014,July
TODAS PARA UNO,HAROLD TROMPETERO SARAY,TROMPETERO PRODUCCIONES S.A.S,90.0,CINECOLOR FILMS,100880,697012019,10/01/2014,,2014,January
TODOS SE VAN,SERIGO CABRERA,JIMENO ACEVEDO & ASOCIADOS,108.4,CINECOLOR FILMS,26493,238505455,23/04/2015,MAY 7 AÑOS,2015,April
TODOS TUS MUERTOS,CARLOS MORENO,AF PRODUCCIONES S.A,82.4,CINE COLOMBIA,37269,259823899,15/07/2011,,2011,July
UN ASUNTO DE TIERRAS,PATRICIA AYALA RUÍZ,PATHOS AUDIOVISUAL,78.0,CINE COLOMBIA,1762,13310250,27/08/2015,TODO PUBLICO,2015,August
UNO AL AÑO NO HACE DAÑO,JUAN CAMILO PINZÓN GÓMEZ,DAGO GARCÍA PRODUCCIONES S.A.S,90.0,CINE COLOMBIA,501803,3749296677,25/12/2014,,2014,December
UNO AL AÑO NO HACE DAÑO 2,JUAN CAMILO PINZÓN GÓMEZ,DAGO GARCÍA PRODUCCIONES S.A.S,90.0,CINE COLOMBIA,550929,4142381178,15/12/2015,MAY 7 AÑOS,2015,December
VIOLENCIA,JORGE FORERO,BURNING BLUE,74.0,CINE COLOMBIA,2813,26006850,22/10/2015,MAY 12 AÑOS,2015,October
VIVO EN EL LIMBO,ROBERTO FLORES Y DAGO GARCÍA,DAGO GARCÍA PRODUCCIONES S.A.S,90.0,CINE COLOMBIA,57874,400504448,27/08/2015,TODO PUBLICO,2015,August
